Date,Federal Funds Rate,10-Year Treasury Yield,CPI All Items,Personal Consumption Expenditures,Unemployment Rate,Industrial Production Index,GDP,Recession Indicator,VIX Market Volatility
2014-09-01,0.09,2.52,237.477,11991.4,5.9,102.9417,17804.228,0.0,17.03
2014-10-01,0.09,2.42,237.43,12064.7,5.7,102.9611,17912.079,0.0,16.71
2014-11-01,0.09,2.42,236.983,12083.9,5.8,103.5978,17912.079,0.0,16.71
2014-12-01,0.12,2.22,236.252,12096.1,5.6,103.6151,17912.079,0.0,14.29
2015-01-01,0.11,2.22,234.747,12066.7,5.7,102.7923,18063.529,0.0,14.29
2015-02-01,0.11,2.22,235.342,12116.6,5.5,102.1366,18063.529,0.0,14.29
2015-03-01,0.11,2.22,235.976,12176.1,5.4,101.7869,18063.529,0.0,14.29
2015-04-01,0.12,1.87,236.222,12209.1,5.4,101.2255,18279.784,0.0,15.11
2015-05-01,0.12,2.12,237.001,12275.4,5.6,100.7675,18279.784,0.0,12.7
2015-06-01,0.13,2.19,237.657,12307.9,5.3,100.4588,18279.784,0.0,13.97
2015-07-01,0.13,2.43,238.034,12364.9,5.2,101.0893,18401.626,0.0,16.09
2015-08-01,0.14,2.43,238.033,12396.2,5.1,100.9165,18401.626,0.0,16.09
2015-09-01,0.14,2.17,237.498,12386.4,5.0,100.633,18401.626,0.0,31.4
2015-10-01,0.12,2.05,237.733,12394.9,5.0,100.1563,18435.137,0.0,22.55
2015-11-01,0.12,2.05,238.017,12423.2,5.1,99.4366,18435.137,0.0,22.55
2015-12-01,0.24,2.15,237.761,12452.0,5.0,98.9471,18435.137,0.0,14.67
2016-01-01,0.34,2.15,237.652,12478.0,4.8,99.4391,18525.933,0.0,14.67
2016-02-01,0.38,1.97,237.336,12554.5,4.9,98.9232,18525.933,0.0,19.98
2016-03-01,0.36,1.83,238.08,12537.0,5.0,98.1635,18525.933,0.0,17.7
2016-04-01,0.37,1.79,238.992,12611.5,5.1,98.4775,18711.702,0.0,13.1
2016-05-01,0.37,1.79,239.557,12652.7,4.8,98.2549,18711.702,0.0,13.1
2016-06-01,0.38,1.85,240.222,12731.2,4.9,98.7315,18711.702,0.0,14.2
2016-07-01,0.39,1.46,240.101,12756.7,4.8,98.8452,18892.639,0.0,14.77
2016-08-01,0.4,1.51,240.545,12788.1,4.9,98.7427,18892.639,0.0,12.44
2016-09-01,0.4,1.57,241.176,12846.6,5.0,98.6552,18892.639,0.0,13.48
2016-10-01,0.4,1.57,241.741,12867.0,4.9,98.7237,19089.379,0.0,13.48
2016-11-01,0.41,1.83,242.026,12893.0,4.7,98.3443,19089.379,0.0,18.56
2016-12-01,0.54,2.45,242.637,13005.9,4.7,99.0406,19089.379,0.0,14.07
2017-01-01,0.65,2.45,243.618,13063.7,4.7,98.8158,19280.084,0.0,14.07
2017-02-01,0.66,2.48,244.006,13088.4,4.6,98.4356,19280.084,0.0,11.81
2017-03-01,0.79,2.46,243.892,13139.9,4.4,99.0492,19280.084,0.0,12.54
2017-04-01,0.9,2.46,244.193,13169.2,4.4,100.0416,19438.643,0.0,12.54
2017-05-01,0.91,2.33,244.004,13171.9,4.4,100.128,19438.643,0.0,10.11
2017-06-01,1.04,2.21,244.163,13225.2,4.3,100.337,19438.643,0.0,9.89
2017-07-01,1.15,2.21,244.243,13263.3,4.3,100.0865,19692.595,0.0,9.89
2017-08-01,1.16,2.26,245.183,13294.6,4.4,99.6323,19692.595,0.0,10.09
2017-09-01,1.15,2.16,246.435,13417.3,4.3,99.7482,19692.595,0.0,10.13
2017-10-01,1.15,2.16,246.626,13447.5,4.2,100.9893,20037.088,0.0,10.13
2017-11-01,1.16,2.37,247.284,13540.6,4.2,101.2493,20037.088,0.0,10.2
2017-12-01,1.3,2.37,247.805,13666.1,4.1,101.4871,20037.088,0.0,11.43
2018-01-01,1.41,2.37,248.859,13703.3,4.0,101.4852,20328.553,0.0,11.43
2018-02-01,1.42,2.78,249.529,13738.7,4.1,101.7319,20328.553,0.0,13.47
2018-03-01,1.51,2.81,249.577,13793.2,4.0,102.1943,20328.553,0.0,22.47
2018-04-01,1.69,2.81,250.227,13838.4,4.0,103.3551,20580.912,0.0,22.47
2018-05-01,1.7,2.97,250.792,13905.0,3.8,102.381,20580.912,0.0,15.49
2018-06-01,1.82,2.89,251.018,13930.4,4.0,103.2256,20580.912,0.0,13.46
2018-07-01,1.91,2.89,251.214,13974.8,3.8,103.3561,20798.73,0.0,13.46
2018-08-01,1.91,3.0,251.663,14014.0,3.8,104.0585,20798.73,0.0,13.15
2018-09-01,1.95,3.0,252.182,14017.8,3.7,104.1038,20798.73,0.0,13.15
2018-10-01,2.19,3.09,252.772,14083.1,3.8,103.9297,20917.867,0.0,12.0
2018-11-01,2.2,3.14,252.594,14162.9,3.8,104.0126,20917.867,0.0,19.34
2018-12-01,2.27,3.14,252.767,14051.6,3.9,104.0451,20917.867,0.0,19.34
2019-01-01,2.4,3.14,252.561,14084.6,4.0,103.3598,21111.6,0.0,19.34
2019-02-01,2.4,2.7,253.319,14117.4,3.8,102.8251,21111.6,0.0,16.14
2019-03-01,2.41,2.76,254.277,14248.6,3.8,102.8361,21111.6,0.0,13.57
2019-04-01,2.42,2.49,255.233,14290.0,3.7,102.2748,21397.938,0.0,13.4
2019-05-01,2.39,2.52,255.296,14353.3,3.6,102.4176,21397.938,0.0,14.8
2019-06-01,2.38,2.52,255.213,14408.7,3.6,102.5425,21397.938,0.0,14.8
2019-07-01,2.4,2.03,255.802,14496.0,3.7,102.0057,21717.171,0.0,14.06
2019-08-01,2.13,1.9,256.036,14558.2,3.6,102.7814,21717.171,0.0,17.87
2019-09-01,2.04,1.9,256.43,14590.6,3.5,102.4601,21717.171,0.0,17.87
2019-10-01,1.83,1.65,257.155,14617.4,3.6,101.5878,21933.217,0.0,18.56
2019-11-01,1.55,1.73,257.879,14711.0,3.6,102.1494,21933.217,0.0,12.3
2019-12-01,1.55,1.73,258.63,14774.8,3.6,101.9421,21933.217,0.0,12.3
2020-01-01,1.55,1.73,259.127,14844.3,3.6,101.3372,21727.657,0.0,12.3
2020-02-01,1.58,1.73,259.25,14833.8,3.5,101.6718,21727.657,0.0,12.3
2020-03-01,0.65,1.73,258.076,13810.5,4.4,97.606,21727.657,1.0,12.3
2020-04-01,0.05,0.62,256.032,12234.4,14.8,84.6812,19935.444,1.0,57.06
2020-05-01,0.05,0.64,255.802,13251.7,13.2,86.0108,19935.444,0.0,37.19
2020-06-01,0.08,0.66,257.042,14040.8,11.0,91.6745,19935.444,0.0,28.23
2020-07-01,0.09,0.69,258.352,14303.8,10.2,95.0037,21684.551,0.0,28.62
2020-08-01,0.1,0.69,259.316,14454.9,8.4,95.9294,21684.551,0.0,28.62
2020-09-01,0.09,0.68,259.997,14675.4,7.8,95.8914,21684.551,0.0,26.12
2020-10-01,0.09,0.68,260.319,14726.0,6.9,96.5256,22068.767,0.0,26.7
2020-11-01,0.09,0.68,260.911,14704.9,6.7,96.9529,22068.767,0.0,26.7
2020-12-01,0.09,0.92,262.045,14827.3,6.7,98.2039,22068.767,0.0,20.77
2021-01-01,0.09,0.92,262.639,15081.5,6.4,98.8135,22656.793,0.0,20.77
2021-02-01,0.08,1.09,263.573,14984.4,6.2,95.5072,22656.793,0.0,30.24
2021-03-01,0.07,1.45,264.847,15712.4,6.1,98.1929,22656.793,0.0,23.35
2021-04-01,0.07,1.69,266.625,15915.0,6.1,98.3317,23368.861,0.0,17.33
2021-05-01,0.06,1.69,268.404,15950.5,5.8,99.1867,23368.861,0.0,17.33
2021-06-01,0.08,1.62,270.71,16183.6,5.9,99.6483,23368.861,0.0,17.9
2021-07-01,0.1,1.48,271.965,16223.5,5.4,100.0668,23921.991,0.0,15.48
2021-08-01,0.09,1.48,272.752,16390.6,5.1,100.0412,23921.991,0.0,15.48
2021-09-01,0.08,1.31,273.942,16477.5,4.7,98.9955,23921.991,0.0,16.11
2021-10-01,0.08,1.48,276.528,16694.0,4.5,100.3542,24777.038,0.0,21.15
2021-11-01,0.08,1.58,278.824,16849.0,4.2,101.2684,24777.038,0.0,16.41
2021-12-01,0.08,1.43,280.806,16905.5,3.9,101.1948,24777.038,0.0,31.12
2022-01-01,0.08,1.43,282.542,17017.8,4.0,101.2146,25215.491,0.0,31.12
2022-02-01,0.08,1.81,284.525,17136.1,3.8,101.8458,25215.491,0.0,21.96
2022-03-01,0.2,1.72,287.467,17371.4,3.7,102.6732,25215.491,0.0,33.32
2022-04-01,0.33,2.39,288.582,17493.8,3.7,102.9024,25805.791,0.0,19.63
2022-05-01,0.77,2.39,291.299,17569.9,3.6,102.9659,25805.791,0.0,19.63
2022-06-01,1.21,2.94,295.072,17747.6,3.6,102.8224,25805.791,0.0,25.69
2022-07-01,1.68,2.88,294.94,17744.0,3.5,103.0505,26272.011,0.0,26.7
2022-08-01,2.33,2.6,295.162,17897.5,3.6,103.1703,26272.011,0.0,22.84
2022-09-01,2.56,3.26,296.421,17987.2,3.5,103.5326,26272.011,0.0,25.56
2022-10-01,3.08,3.26,297.979,18096.2,3.6,103.4442,26734.277,0.0,25.56
2022-11-01,3.78,4.07,298.708,18094.0,3.6,103.1058,26734.277,0.0,25.81
2022-12-01,4.1,3.53,298.808,18134.6,3.5,101.8266,26734.277,0.0,19.84
2023-01-01,4.33,3.53,300.456,18475.2,3.5,102.7476,27164.359,0.0,19.84
2023-02-01,4.57,3.39,301.476,18532.1,3.6,102.8003,27164.359,0.0,17.87
2023-03-01,4.65,4.01,301.643,18511.3,3.5,102.8143,27164.359,0.0,20.58
2023-04-01,4.83,4.01,302.858,18638.7,3.4,103.2241,27453.815,0.0,20.58
2023-05-01,5.06,3.59,303.316,18676.4,3.6,102.9809,27453.815,0.0,16.08
2023-06-01,5.08,3.61,304.099,18742.1,3.6,102.3809,27453.815,0.0,15.65
2023-07-01,5.12,3.61,304.615,18850.5,3.5,103.0722,27967.697,0.0,15.65
2023-08-01,5.33,4.05,306.138,18911.6,3.7,103.0951,27967.697,0.0,13.93
2023-09-01,5.33,4.18,307.374,19024.9,3.8,103.3081,27967.697,0.0,13.09
2023-10-01,5.33,4.18,307.653,19069.5,3.9,102.5781,28296.967,0.0,13.09
2023-11-01,5.33,4.77,308.087,19151.0,3.7,102.8868,28296.967,0.0,16.87
2023-12-01,5.33,4.22,308.735,19289.9,3.8,102.6309,28296.967,0.0,12.63
2024-01-01,5.33,4.22,309.794,19308.5,3.7,101.483,28624.069,0.0,12.63
2024-02-01,5.33,3.87,311.022,19412.7,3.9,102.7267,28624.069,0.0,13.88
2024-03-01,5.33,4.19,312.107,19553.2,3.9,102.5186,28624.069,0.0,13.11
2024-04-01,5.33,4.33,313.016,19603.3,3.9,102.3568,29016.714,0.0,13.65
2024-05-01,5.33,4.63,313.14,19697.3,4.0,102.9797,29016.714,0.0,15.39
2024-06-01,5.33,4.63,313.131,19747.5,4.1,103.2534,29016.714,0.0,15.39
2024-07-01,5.33,4.48,313.566,19866.3,4.2,102.5192,29374.914,0.0,12.22
2024-08-01,5.33,3.99,314.131,19905.0,4.2,103.0196,29374.914,0.0,18.59
2024-09-01,5.13,3.99,314.851,20044.1,4.1,102.5954,29374.914,0.0,18.59
2024-10-01,4.83,3.74,315.564,20123.2,4.1,102.2138,29723.864,0.0,19.26
2024-11-01,4.64,4.37,316.449,20235.1,4.2,101.9503,29723.864,0.0,21.88
2024-12-01,4.48,4.37,317.603,20408.1,4.1,103.0723,29723.864,0.0,21.88
